"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"2049",2.92346325009222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361510812000759,NA,5,-36.9469243703696,84.9652773121678,7.94454741736548,0.00249856573391701
"324",3.01407314859313,0.0344102070339183,0.411015964778637,NA,NA,NA,NA,-0.234595558092496,NA,"+",NA,NA,NA,NA,9,-31.7646657580357,84.9908699776099,7.9701400828076,0.00246679695091915
"7427",3.00403129443262,NA,0.298489578890648,NA,NA,NA,NA,NA,NA,"+",NA,-0.31507324579208,0.337215170631171,-0.134408536077282,10,-30.3390995729965,84.9919246361891,7.97119474138681,0.00246549647955388
"289",2.93317536877163,NA,NA,NA,NA,NA,0.0579526021959856,NA,NA,"+",NA,NA,NA,NA,7,-34.5051240823243,85.0843222387226,8.06359234392036,0.00235418453421576
"6145",2.92583140056744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493688464285296,-0.219240782299992,6,-35.8289905047991,85.1852537368708,8.16452384206855,0.00223832685817973
"2083",2.87875795692482,NA,0.345851174354765,NA,NA,NA,0.103402023892738,NA,NA,NA,NA,NA,0.17618794451129,NA,7,-34.5593015060001,85.1926770860743,8.17194719127201,0.00223003431635849
"769",2.91329009461276,NA,NA,NA,NA,NA,NA,NA,NA,"+",-0.0290733308351284,NA,NA,NA,7,-34.5853988835451,85.2448718411643,8.22414194636198,0.00217258911376457
"1287",3.08432871958865,NA,0.388342888459829,-0.081463548163111,NA,NA,NA,NA,NA,"+",NA,-0.162701698838356,NA,NA,9,-31.9349425964974,85.3314236545333,8.31069375973098,0.00208057373461115
"2595",2.87337414442142,NA,0.353144055155486,NA,NA,NA,0.109841014151902,NA,NA,NA,-0.302885818783245,NA,0.361710503533053,NA,8,-33.3232042038134,85.3633895397022,8.34265964489992,0.00204758437982
"2369",2.92968907313936,NA,NA,NA,NA,NA,NA,-0.135641554487151,NA,"+",NA,NA,0.201825034367858,NA,8,-33.3235189510621,85.3640190341997,8.3432891393974,0.00204694000968208
"2179",2.85914167511994,NA,0.382735230613331,NA,NA,NA,NA,NA,-0.0731151034613848,NA,NA,NA,0.188862256674249,NA,7,-34.6591332288992,85.3923405318725,8.37161063707021,0.00201815807416261
"355",3.00451136404315,NA,0.425331768517097,NA,NA,NA,0.00556257270949638,-0.24339125351661,NA,"+",NA,NA,NA,NA,9,-31.9744065251825,85.4103515119034,8.38962161710108,0.00200006516182291
"3843",3.04486781725942,NA,0.340442299126407,NA,NA,NA,NA,NA,NA,"+",-0.159526036398209,-0.237111674323629,0.319415544410779,NA,10,-30.5489704549229,85.4116664000419,8.39093650523961,0.0019987506629962
"2115",2.86583092970438,NA,0.361731525004661,NA,NA,NA,NA,0.0528094814676205,NA,NA,NA,NA,0.156905691492581,NA,7,-34.6728281846648,85.4197304434037,8.39900054860144,0.00199070788221759
"2059",2.86735517016117,NA,0.382878452073203,NA,-0.0915832095619621,NA,NA,NA,NA,NA,NA,NA,0.150000737262052,NA,7,-34.681565678923,85.4372054319201,8.41647553711778,0.00197338985179958
"71",2.86033676309432,NA,0.375881020661574,-0.128942748373241,NA,NA,NA,0.0278894930908647,NA,NA,NA,NA,NA,NA,7,-34.6836524286309,85.4413789313359,8.42064903653363,0.00196927617470271
"2627",2.86228202938282,NA,0.350798470892248,NA,NA,NA,NA,0.104926864791187,NA,NA,-0.332246733372512,NA,0.352052257995841,NA,8,-33.3734881709313,85.463957473938,8.44322757913574,0.00194716950060697
"1795",3.08213311458121,NA,0.437759800767954,NA,NA,NA,NA,NA,NA,"+",-0.0251210118771437,-0.144471393577114,NA,NA,9,-32.0060223082472,85.4735830780328,8.45285318323053,0.00193782067431859
"2309",3.05659838744315,NA,NA,-0.112846923838268,NA,NA,NA,NA,NA,"+",NA,NA,0.19286342531403,NA,8,-33.3975150904035,85.5120113128825,8.49128141808021,0.00190094258485912
"3395",2.99625066095564,NA,0.347566595474693,NA,NA,NA,NA,-0.115557567547088,NA,"+",NA,-0.276631720657484,0.232702933834991,NA,10,-30.6119344055486,85.5375943012933,8.51686440649097,0.00187678154613311
"331",3.00804736256512,NA,0.428201037409321,NA,-0.0324503201428296,NA,NA,-0.236017872306399,NA,"+",NA,NA,NA,NA,9,-32.0569668434698,85.575472148478,8.55474225367573,0.00184157179365872
"265",2.92678886926253,NA,NA,NA,-0.0341066986454887,NA,NA,NA,NA,"+",NA,NA,NA,NA,7,-34.7774920201687,85.6290581144114,8.60832821960915,0.00179288572690071
"519",2.85431278399524,NA,0.423948822766248,-0.120157868542912,NA,NA,NA,NA,NA,NA,-0.0533961166008819,NA,NA,NA,7,-34.798409765005,85.6708936040841,8.65016370928186,0.00175577212047064
"4353",2.91363925541517,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,-0.0309827139644515,7,-34.8149305829473,85.7039352399687,8.68320534516639,0.00172700362280676
"5",2.91628415195519,NA,NA,-0.273173652137199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-37.333810179661,85.7390489307506,8.71831903594834,0.00169694750456656
"1284",3.08743340050743,0.0184212990495962,0.418548466871049,NA,NA,NA,NA,NA,NA,"+",NA,-0.152240588545565,NA,NA,9,-32.1541718131607,85.7698820878599,8.74915219305765,0.00167098700526689
"3841",2.88945702318315,NA,NA,NA,NA,NA,NA,NA,NA,"+",-0.140373117272188,-0.255132603042549,0.401968019549135,NA,9,-32.1652276424093,85.791993746357,8.77126385155469,0.00165261460645215
"1091",2.82180459872292,NA,0.464866226699656,NA,NA,NA,NA,0.115501602379628,NA,NA,NA,-0.138324547064446,NA,NA,7,-34.8813041699425,85.8366824139591,8.81595251915681,0.00161609752824212
"135",2.85956777316326,NA,0.387994871311584,-0.130429540819443,NA,NA,NA,NA,0.0211316600871569,NA,NA,NA,NA,NA,7,-34.8874371890186,85.8489484521113,8.82821855730899,0.0016062163031163
"8",2.86199312332193,0.0462151146088317,0.371588870383753,-0.131200984961752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-34.9077192083309,85.8895124907359,8.8687825959336,0.00157396713763
"2625",2.91367914321387,NA,NA,NA,NA,NA,NA,0.296431432417207,NA,NA,-0.345905841975436,NA,0.490789469183362,NA,7,-34.9162050070816,85.9064840882373,8.88575419343499,0.00156066727903039
"3137",2.82585758510376,NA,NA,NA,NA,NA,NA,0.338907938260749,NA,NA,NA,-0.364724945787578,0.425221647467238,NA,7,-34.9186911991303,85.9114564723346,8.89072657753229,0.00155679197981587
"3333",2.93341209981788,NA,NA,-0.106376721043884,NA,NA,NA,NA,NA,"+",NA,-0.301135656675189,0.30665888151193,NA,9,-32.234597186767,85.9307328350724,8.91000294027012,0.00154185941334867
"339",3.00896558275108,NA,0.434961489287534,NA,NA,0.033463469184893,NA,-0.233688911604521,NA,"+",NA,NA,NA,NA,9,-32.2451880687869,85.9519145991123,8.93118470431006,0.00152561593044734
"39",2.86644072866676,NA,0.379149974676691,-0.118280628890642,NA,NA,0.0564151483880577,NA,NA,NA,NA,NA,NA,NA,7,-34.9398170921279,85.9537082583299,8.93297836352758,0.00152424832625494
"899",3.16700412873423,NA,0.446216897417157,NA,NA,NA,NA,NA,0.113453601350383,"+",-0.127953486182512,NA,NA,NA,9,-32.2469730658136,85.9554845931657,8.93475469836341,0.00152289513957187
"2561",2.91785201576857,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279351559515421,NA,0.555732967620683,NA,6,-36.2193079684046,85.9658886640819,8.94515876927957,0.00151499355503717
"2113",2.91910987573331,NA,NA,NA,NA,NA,NA,0.255955399841178,NA,NA,NA,NA,0.287124107599761,NA,6,-36.2250183452278,85.9773094177283,8.95657952292603,0.00150636702476385
"2306",3.05867810152037,0.109108222189357,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.198332325244415,NA,8,-33.6350227692471,85.9870266705697,8.9662967757674,0.00149906590121664
"3393",2.88542775907736,NA,NA,NA,NA,NA,NA,-0.0322477805402756,NA,"+",NA,-0.306064255810051,0.333062575138713,NA,9,-32.2796453194434,86.0208291004253,9.00009920562306,0.0014739427699841
