"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"5202",2.60284146590481,0.221440859065267,NA,NA,NA,-0.0276193075113069,NA,0.144063885172517,NA,NA,NA,0.07774105183495,NA,0.0617630356065528,9,-2.53419288145413,25.1860328217318,46.2600558165079,3.9243294363722e-11
"1569",2.58633311900047,NA,NA,NA,NA,NA,0.0913021321150281,NA,NA,NA,0.131243841887508,-0.0110985318386216,NA,NA,7,-4.96240331020897,25.212162942257,46.2861859370331,3.87339131518205e-11
"5297",2.55376368268433,NA,NA,NA,NA,-0.03489452714612,0.100802044679473,NA,0.250038328978711,NA,NA,0.0249790893191299,NA,0.0749994570773849,9,-2.5486614931246,25.2149700450727,46.2889930398488,3.86795862477044e-11
"6345",2.52258880061626,NA,NA,NA,-0.028423420952995,NA,NA,0.0898873903732078,0.243039706047751,NA,NA,NA,-0.0814267878122266,0.0583547329722214,9,-2.56155982145802,25.2407667017396,46.3147896965156,3.81838879564337e-11
"37",2.59085080659822,NA,NA,0.0134031785123111,NA,NA,0.0405353904811025,NA,NA,NA,NA,NA,NA,NA,6,-6.14576332495345,25.2460721044524,46.3200950992284,3.80827317330031e-11
"50",2.60576182612364,0.161151110921711,NA,NA,NA,0.0419327023749589,0.0248162530392362,NA,NA,NA,NA,NA,NA,NA,7,-4.98163943237259,25.2506351865843,46.3246581813603,3.79959434598029e-11
"1033",2.58814796094935,NA,NA,NA,-0.000633302300909856,NA,NA,NA,NA,NA,NA,-0.00575861499686874,NA,NA,6,-6.16224639307062,25.2790382406867,46.3530612354628,3.74601565420375e-11
"4709",2.55667555442071,NA,NA,0.0811291047979199,NA,NA,0.160633931070639,0.165353195518656,NA,NA,0.0814552145351339,NA,NA,0.0691824161363095,9,-2.58070957355832,25.2790662059402,46.3530892007163,3.74596327543128e-11
"3146",2.6004056666903,0.243503991475634,NA,NA,-0.0058769161462836,NA,NA,0.16540871893655,NA,NA,NA,0.0828081022743081,0.00646562641298531,NA,9,-2.59289574041919,25.3034385396619,46.377461534438,3.70059135826502e-11
"4185",2.56114215128598,NA,NA,NA,-0.088414623598255,-0.0729847393875225,NA,0.13597329687424,NA,NA,NA,NA,NA,0.151844644486196,8,-3.81583527983425,25.3060891643197,46.3801121590957,3.69569016743552e-11
