"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"5297",1.55753400139567,NA,NA,NA,NA,-0.137687911932517,0.112676884719645,NA,0.123575367516364,NA,NA,0.400495058757709,NA,0.334223730589781,NA,11,-133.075362141209,289.97141393759,53.2931603138856,1.30034208503567e-13
"1189",1.55035572600577,NA,NA,-0.0651235093292517,NA,NA,0.126293670815886,NA,0.178834780386508,NA,NA,0.563870957112405,NA,NA,NA,10,-134.236465274581,289.979779864231,53.3015262405257,1.2949141621061e-13
"7681",1.58080575753065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",0.442863009458729,0.0313251757256549,0.228452190504614,NA,10,-134.240981036034,289.988811387136,53.3105577634307,1.28907982180765e-13
"10389",1.46390892905893,NA,NA,-0.385145083941912,NA,-0.193320914277948,NA,NA,0.412816138071592,NA,NA,NA,0.100388224851185,NA,0.480461960674425,11,-133.089002412226,289.998694479625,53.3204408559199,1.28272548730459e-13
"4129",1.573747667472,NA,NA,NA,NA,NA,0.0885368666037049,NA,NA,NA,NA,NA,NA,0.628095601893903,NA,8,-136.512906131049,289.998785235072,53.3205316113669,1.2826672814627e-13
"1054",1.56816584874495,0.256244604434586,NA,-0.170384013582227,0.0638694872647649,-0.0964958407529348,NA,NA,NA,NA,NA,0.658629384435603,NA,NA,NA,11,-133.095863851303,290.012417357777,53.3341637340726,1.27395427051844e-13
"8354",1.51447142039102,0.244849287679724,NA,NA,NA,NA,-0.00396700831900948,NA,0.385849681297775,NA,NA,NA,NA,NA,0.465350835005144,10,-134.260083490944,290.027016296957,53.3487626732526,1.26468893721087e-13
"3113",1.60932283923085,NA,NA,NA,-0.0737684979920784,NA,0.150031589873511,NA,NA,NA,NA,0.639561427332599,0.165202873084666,NA,NA,10,-134.260502140744,290.027853596556,53.3495999728511,1.26415958625525e-13
"4233",1.54385187973885,NA,NA,NA,-0.0372306132550464,NA,NA,NA,0.307597022177308,NA,NA,NA,NA,0.441412299659982,NA,9,-135.421850782288,290.068191360494,53.3899377367893,1.2389183006646e-13
"1697",1.56811978180059,NA,NA,NA,NA,NA,0.141579735943185,NA,0.167597741194905,NA,"+",0.588079003967802,NA,NA,NA,10,-134.284911220759,290.076671756586,53.398418132881,1.23367616341136e-13
