"trophic","X","Intercept","Depth_m.rescale","Habitat","Management","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Competitive.rescale","Generalist.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"Planktivore",1283,0.956272824861567,NA,"+",NA,0.411999980235693,0.25779237362228,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-108.860076557222,239.227002429512,2.54874880580678,0.0135852167286283
"Planktivore",8395,1.37186200199011,0.456028610574962,NA,NA,0.456753038485831,NA,NA,NA,-0.224419603712864,NA,NA,NA,0.163713120300482,NA,0.261962955667936,11,-107.774459754558,239.369609164288,2.69135554058309,0.0126502734164334
"Planktivore",387,0.922944742210378,NA,"+",NA,0.452639251267706,NA,NA,NA,NA,NA,NA,NA,0.279621286925991,NA,NA,10,-108.949722561747,239.406294438563,2.7280408148581,0.0124203491962445
"Planktivore",1092,1.42714794104894,0.484154853041395,NA,NA,0.402763837955325,0.247387281414307,NA,NA,NA,NA,NA,0.184524487729606,NA,NA,NA,10,-108.973600947778,239.454051210624,2.77579758691877,0.0121272841879906
"Planktivore",4163,1.40478897225777,0.431558717837725,NA,NA,0.532514049270983,NA,NA,NA,NA,NA,NA,NA,NA,0.202256162353813,NA,9,-110.202937095961,239.630363987841,2.95211036413571,0.0111039557322878
"Planktivore",67,1.39510210464168,0.478141848279196,NA,NA,0.630787382563068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-111.349090432366,239.671153837705,2.99290021400003,0.0108797851302925
"Planktivore",4418,0.894760134059774,0.215882348019638,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.270114502888751,NA,0.38780698071983,NA,11,-107.954295222068,239.729280099308,3.05102647560315,0.0105681352095182
"Planktivore",4419,1.08299186870485,0.282504260086142,"+",NA,0.40095262855613,NA,NA,NA,NA,NA,NA,NA,NA,0.263684252936023,NA,11,-107.988941510812,239.798572676797,3.12031905309172,0.0102082587355583
"Planktivore",8387,1.37244186715751,0.429175029735529,NA,NA,0.502085660514135,NA,NA,NA,NA,NA,NA,NA,0.206069488230241,NA,0.146017865832201,10,-109.222554898986,239.951959113041,3.27370548933607,0.00945462324845164
"Planktivore",12356,1.41247769609111,0.473103755169161,NA,NA,0.355980830932083,NA,NA,NA,NA,NA,NA,0.223539406302674,NA,0.175834747298029,0.21480520614836,11,-108.100685586423,240.022060828018,3.34380720431315,0.00912897112902884
"Planktivore",4164,1.41727120049712,0.497654225547853,NA,NA,0.412800813683119,NA,NA,NA,NA,NA,NA,0.193786090019511,NA,0.232375697258755,NA,10,-109.268415084633,240.043679484335,3.36542586062967,0.00903082448959665
"Planktivore",12546,0.818121269350791,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.287413055138117,NA,0.344277564278512,0.152164269575537,11,-108.138549189319,240.097788033811,3.41953441010614,0.00878977746136487
"Planktivore",4420,1.0341008116551,0.263342694217417,"+",NA,0.274629002230318,NA,NA,NA,NA,NA,NA,0.195926329610528,NA,0.298078194011477,NA,12,-106.989672877252,240.146012421171,3.4677587974659,0.00858037141003502
"Planktivore",8268,1.39285641521293,0.493611661165353,NA,NA,0.436093101365549,NA,NA,NA,-0.18655886697856,NA,NA,0.125719871140366,NA,NA,0.333452660866023,11,-108.180943291777,240.182576238727,3.50432261502223,0.00842493104527368
